person_id,last_name,first_name,position,height_inches,weight_lbs,min,pts,fg_pct,reb,ast,blk,stl
204037,Wear,Travis,Forward,82,225,13.2,3.9,0.402,2.1,0.8,0.2,0.3
101110,Webster,Martell,Forward,79,230,11.0,3.3,0.264,1.4,0.5,0.0,0.2
2561,West,David,Forward,81,250,28.7,11.7,0.471,6.8,3.4,0.7,0.7
201566,Westbrook,Russell,Guard,75,200,34.4,28.1,0.426,7.3,8.6,0.2,2.1
202355,Whiteside,Hassan,Center,84,265,23.8,11.8,0.628,10.0,0.1,2.6,0.6
203952,Wiggins,Andrew,Forward,80,199,36.2,16.9,0.437,4.6,2.1,0.6,1.0
101114,Williams,Deron,Guard,75,200,31.1,13.0,0.387,3.5,6.6,0.3,0.9
202682,Williams,Derrick,Forward,80,240,19.8,8.3,0.447,2.7,0.7,0.1,0.5
101150,Williams,Lou,Guard,73,175,25.2,15.5,0.404,1.9,2.1,0.1,1.1
101107,Williams,Marvin,Forward,81,237,26.1,7.4,0.424,4.9,1.3,0.5,0.9
2590,Williams,Mo,Guard,73,198,29.1,14.2,0.397,2.6,6.2,0.2,0.7
200761,Williams,Shawne,Forward,82,230,17.2,5.4,0.403,2.6,0.7,0.3,0.4
203489,Wolters,Nate,,,"",11.7,2.0,0.351,1.6,1.0,0.1,0.4
201148,Wright,Brandan,Forward,82,210,19.3,7.3,0.642,4.3,0.5,1.3,0.7
2748,Wright,Dorell,Forward,81,205,12.3,4.6,0.379,2.3,0.9,0.2,0.4
203100,Wroten,Tony,Guard,78,205,29.8,16.9,0.403,2.9,5.2,0.3,1.6
203923,Young,James,Guard,78,215,10.7,3.4,0.353,1.4,0.4,0.1,0.3
201156,Young,Nick,Forward,79,210,23.8,13.4,0.366,2.3,1.0,0.3,0.5
201152,Young,Thaddeus,Forward,80,221,32.0,14.1,0.466,5.4,2.3,0.3,1.6
203469,Zeller,Cody,Forward,84,240,24.0,7.6,0.461,5.8,1.6,0.8,0.5
203092,Zeller,Tyler,Center,84,253,21.1,10.2,0.549,5.7,1.4,0.6,0.2
